AC,CALI,DEN,GR,NEU,RDEP,RMED
95.7952,12.7249,2.3429,54.8754,44.5742,0.8941,0.8359
94.2267,12.5961,2.3528,53.5158,62.1103,0.7367,0.8028
101.3254,13.7632,2.317,48.9803,71.9087,0.6423,0.7958
99.5672,14.3249,2.2585,36.6762,44.8988,0.6571,0.7929
100.5965,11.1429,2.2108,40.4632,49.5744,0.7442,0.794
101.3599,11.1429,2.2043,34.5944,33.7486,0.7461,0.7998
101.7746,10.2602,2.2558,30.2169,25.1014,0.7584,0.8431
93.591,10.0952,2.3477,32.7352,15.9389,0.9299,1.0334
86.7889,10.4122,2.4238,30.3098,14.3046,1.1877,1.3554
113.5721,10.1185,2.4514,32.6037,12.7656,1.2524,1.7562
114.887,9.4286,2.4613,29.1877,14.5347,1.1941,1.6138
111.0009,9.4961,2.4681,27.5391,13.9872,1.1643,1.6388
118.4935,9.5238,2.4664,32.0472,17.0177,1.1769,1.6396
117.725,9.5238,2.4565,30.0272,22.0449,1.1877,1.58
71.3232,9.5238,2.4434,32.0201,27.61,1.1802,1.4031
72.0622,9.5238,2.419,33.422,28.0136,1.146,1.122
79.6309,9.4967,2.3954,28.6653,34.0052,1.0448,1.0268
87.1305,9.4286,2.3691,29.3822,33.3281,0.969,0.9745
93.2733,9.3985,2.3254,34.04,26.4729,0.916,0.9712
84.5021,9.3333,2.2694,34.04,37.6999,0.8827,0.9712
85.3355,9.271,2.2434,39.4809,30.5046,0.8046,0.9693
90.7607,9.3333,2.2239,40.6847,54.4619,0.7491,0.9633
95.0799,9.3691,2.1321,35.6092,95.4091,0.7483,0.9518
114.7101,9.8529,2.0919,41.5162,86.7227,0.7485,0.9239
149.2187,11.2739,2.2382,46.0491,97.5871,0.7507,0.8501
149.2187,11.3986,2.3535,40.8043,90.0191,0.734,0.8202
145.203,11.5238,2.3766,45.7993,61.9258,0.7315,0.8114
141.7253,11.705,2.3795,54.1651,62.0166,0.7564,0.812
137.5889,11.8095,2.3793,55.0605,67.059,0.7658,0.8194
129.0768,12.277,2.3736,61.8259,80.5069,0.7572,0.8309
117.4485,12.8098,2.3329,59.6013,97.1727,0.773,0.8371
111.0941,11.1417,2.2282,60.0072,106.4448,0.7931,0.8456
110.5732,11.1982,2.1872,57.7056,63.4259,0.8033,0.8794
110.4621,12.2978,2.2344,51.918,60.1774,0.8311,0.929
112.2371,12.7837,2.3124,49.0631,88.3375,0.8515,0.9512
117.8913,13.0338,2.3756,49.3982,90.1326,0.8573,0.9631
